
                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
[Warning: Directory already exists.] 
[> In WFObs_s_initialize (line 42)
  In WFObs_core (line 46)
  In WFObs_batchJob (line 46)] 
 WindFarmObserver (WFObs)
 Case:  axi_2turb_alm_turb_ExKF_uinf_noest.m
 
 3:20 AM __  Initializing simulation model.
 3:20 AM __  Finished initialization sequence.
 3:20 AM __  t(0001) = 0001 s __ Centerline VAF: 0.00%, Centerline RMSE: 3.12 m/s, Measurement RMSE: 1.59 m/s.
 3:20 AM __  t(0001) = 0001 s __ Flow RMSE: 2.20 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 26.51 s.
 
 3:20 AM __  t(0002) = 0002 s __ Centerline VAF: 0.00%, Centerline RMSE: 3.09 m/s, Measurement RMSE: 1.60 m/s.
 3:20 AM __  t(0002) = 0002 s __ Flow RMSE: 2.19 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.02 s.
 
 3:21 AM __  t(0003) = 0003 s __ Centerline VAF: 0.00%, Centerline RMSE: 3.06 m/s, Measurement RMSE: 1.54 m/s.
 3:21 AM __  t(0003) = 0003 s __ Flow RMSE: 2.19 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.12 s.
 
 3:21 AM __  t(0004) = 0004 s __ Centerline VAF: 0.00%, Centerline RMSE: 3.03 m/s, Measurement RMSE: 1.36 m/s.
 3:21 AM __  t(0004) = 0004 s __ Flow RMSE: 2.18 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.30 s.
 
 3:21 AM __  t(0005) = 0005 s __ Centerline VAF: 0.00%, Centerline RMSE: 3.00 m/s, Measurement RMSE: 1.28 m/s.
 3:21 AM __  t(0005) = 0005 s __ Flow RMSE: 2.18 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.15 s.
 
 3:21 AM __  t(0006) = 0006 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.98 m/s, Measurement RMSE: 1.19 m/s.
 3:21 AM __  t(0006) = 0006 s __ Flow RMSE: 2.17 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.57 s.
 
 3:21 AM __  t(0007) = 0007 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.96 m/s, Measurement RMSE: 1.06 m/s.
 3:21 AM __  t(0007) = 0007 s __ Flow RMSE: 2.17 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.85 s.
 
 3:22 AM __  t(0008) = 0008 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.94 m/s, Measurement RMSE: 0.98 m/s.
 3:22 AM __  t(0008) = 0008 s __ Flow RMSE: 2.17 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.04 s.
 
 3:22 AM __  t(0009) = 0009 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.92 m/s, Measurement RMSE: 0.90 m/s.
 3:22 AM __  t(0009) = 0009 s __ Flow RMSE: 2.17 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.00 s.
 
 3:22 AM __  t(0010) = 0010 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.91 m/s, Measurement RMSE: 0.88 m/s.
 3:22 AM __  t(0010) = 0010 s __ Flow RMSE: 2.17 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.10 s.
 
 3:22 AM __  t(0011) = 0011 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.89 m/s, Measurement RMSE: 0.78 m/s.
 3:22 AM __  t(0011) = 0011 s __ Flow RMSE: 2.17 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.92 s.
 
 3:23 AM __  t(0012) = 0012 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.88 m/s, Measurement RMSE: 0.78 m/s.
 3:23 AM __  t(0012) = 0012 s __ Flow RMSE: 2.16 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.85 s.
 
 3:23 AM __  t(0013) = 0013 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.86 m/s, Measurement RMSE: 0.73 m/s.
 3:23 AM __  t(0013) = 0013 s __ Flow RMSE: 2.16 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.85 s.
 
 3:23 AM __  t(0014) = 0014 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.84 m/s, Measurement RMSE: 0.72 m/s.
 3:23 AM __  t(0014) = 0014 s __ Flow RMSE: 2.16 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.89 s.
 
 3:23 AM __  t(0015) = 0015 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.82 m/s, Measurement RMSE: 0.66 m/s.
 3:23 AM __  t(0015) = 0015 s __ Flow RMSE: 2.16 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.10 s.
 
 3:24 AM __  t(0016) = 0016 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.81 m/s, Measurement RMSE: 0.63 m/s.
 3:24 AM __  t(0016) = 0016 s __ Flow RMSE: 2.15 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.51 s.
 
 3:24 AM __  t(0017) = 0017 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.80 m/s, Measurement RMSE: 0.66 m/s.
 3:24 AM __  t(0017) = 0017 s __ Flow RMSE: 2.15 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.64 s.
 
 3:24 AM __  t(0018) = 0018 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.78 m/s, Measurement RMSE: 0.64 m/s.
 3:24 AM __  t(0018) = 0018 s __ Flow RMSE: 2.15 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.07 s.
 
 3:24 AM __  t(0019) = 0019 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.77 m/s, Measurement RMSE: 0.60 m/s.
 3:24 AM __  t(0019) = 0019 s __ Flow RMSE: 2.15 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.85 s.
 
 3:25 AM __  t(0020) = 0020 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.76 m/s, Measurement RMSE: 0.53 m/s.
 3:25 AM __  t(0020) = 0020 s __ Flow RMSE: 2.15 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.83 s.
 
 3:25 AM __  t(0021) = 0021 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.75 m/s, Measurement RMSE: 0.49 m/s.
 3:25 AM __  t(0021) = 0021 s __ Flow RMSE: 2.14 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.81 s.
 
 3:25 AM __  t(0022) = 0022 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.73 m/s, Measurement RMSE: 0.50 m/s.
 3:25 AM __  t(0022) = 0022 s __ Flow RMSE: 2.14 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.82 s.
 
 3:25 AM __  t(0023) = 0023 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.72 m/s, Measurement RMSE: 0.48 m/s.
 3:25 AM __  t(0023) = 0023 s __ Flow RMSE: 2.14 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.76 s.
 
 3:25 AM __  t(0024) = 0024 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.71 m/s, Measurement RMSE: 0.48 m/s.
 3:25 AM __  t(0024) = 0024 s __ Flow RMSE: 2.14 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.02 s.
 
 3:26 AM __  t(0025) = 0025 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.70 m/s, Measurement RMSE: 0.42 m/s.
 3:26 AM __  t(0025) = 0025 s __ Flow RMSE: 2.14 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.06 s.
 
 3:26 AM __  t(0026) = 0026 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.68 m/s, Measurement RMSE: 0.42 m/s.
 3:26 AM __  t(0026) = 0026 s __ Flow RMSE: 2.13 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.90 s.
 
 3:26 AM __  t(0027) = 0027 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.67 m/s, Measurement RMSE: 0.45 m/s.
 3:26 AM __  t(0027) = 0027 s __ Flow RMSE: 2.13 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.77 s.
 
 3:26 AM __  t(0028) = 0028 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.65 m/s, Measurement RMSE: 0.46 m/s.
 3:26 AM __  t(0028) = 0028 s __ Flow RMSE: 2.13 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.87 s.
 
 3:27 AM __  t(0029) = 0029 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.64 m/s, Measurement RMSE: 0.38 m/s.
 3:27 AM __  t(0029) = 0029 s __ Flow RMSE: 2.13 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.02 s.
 
 3:27 AM __  t(0030) = 0030 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.62 m/s, Measurement RMSE: 0.40 m/s.
 3:27 AM __  t(0030) = 0030 s __ Flow RMSE: 2.13 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.84 s.
 
 3:27 AM __  t(0031) = 0031 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.60 m/s, Measurement RMSE: 0.35 m/s.
 3:27 AM __  t(0031) = 0031 s __ Flow RMSE: 2.13 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 15.26 s.
 
 3:27 AM __  t(0032) = 0032 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.59 m/s, Measurement RMSE: 0.46 m/s.
 3:27 AM __  t(0032) = 0032 s __ Flow RMSE: 2.12 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.96 s.
 
 3:28 AM __  t(0033) = 0033 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.57 m/s, Measurement RMSE: 0.47 m/s.
 3:28 AM __  t(0033) = 0033 s __ Flow RMSE: 2.12 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.03 s.
 
 3:28 AM __  t(0034) = 0034 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.55 m/s, Measurement RMSE: 0.50 m/s.
 3:28 AM __  t(0034) = 0034 s __ Flow RMSE: 2.12 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.96 s.
 
 3:28 AM __  t(0035) = 0035 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.53 m/s, Measurement RMSE: 0.50 m/s.
 3:28 AM __  t(0035) = 0035 s __ Flow RMSE: 2.12 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.99 s.
 
 3:28 AM __  t(0036) = 0036 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.52 m/s, Measurement RMSE: 0.48 m/s.
 3:28 AM __  t(0036) = 0036 s __ Flow RMSE: 2.12 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 14.01 s.
 
 3:29 AM __  t(0037) = 0037 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.51 m/s, Measurement RMSE: 0.45 m/s.
 3:29 AM __  t(0037) = 0037 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.88 s.
 
 3:29 AM __  t(0038) = 0038 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.50 m/s, Measurement RMSE: 0.42 m/s.
 3:29 AM __  t(0038) = 0038 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.82 s.
 
 3:29 AM __  t(0039) = 0039 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.49 m/s, Measurement RMSE: 0.39 m/s.
 3:29 AM __  t(0039) = 0039 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.79 s.
 
 3:29 AM __  t(0040) = 0040 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.48 m/s, Measurement RMSE: 0.46 m/s.
 3:29 AM __  t(0040) = 0040 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.79 s.
 
 3:29 AM __  t(0041) = 0041 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.46 m/s, Measurement RMSE: 0.41 m/s.
 3:29 AM __  t(0041) = 0041 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.77 s.
 
 3:30 AM __  t(0042) = 0042 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.44 m/s, Measurement RMSE: 0.42 m/s.
 3:30 AM __  t(0042) = 0042 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.88 s.
 
 3:30 AM __  t(0043) = 0043 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.43 m/s, Measurement RMSE: 0.46 m/s.
 3:30 AM __  t(0043) = 0043 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.79 s.
 
 3:30 AM __  t(0044) = 0044 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.41 m/s, Measurement RMSE: 0.49 m/s.
 3:30 AM __  t(0044) = 0044 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.78 s.
 
 3:30 AM __  t(0045) = 0045 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.39 m/s, Measurement RMSE: 0.50 m/s.
 3:30 AM __  t(0045) = 0045 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.77 s.
 
 3:31 AM __  t(0046) = 0046 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.38 m/s, Measurement RMSE: 0.47 m/s.
 3:31 AM __  t(0046) = 0046 s __ Flow RMSE: 2.11 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.79 s.
 
 3:31 AM __  t(0047) = 0047 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.37 m/s, Measurement RMSE: 0.42 m/s.
 3:31 AM __  t(0047) = 0047 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.79 s.
 
 3:31 AM __  t(0048) = 0048 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.36 m/s, Measurement RMSE: 0.37 m/s.
 3:31 AM __  t(0048) = 0048 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.82 s.
 
 3:31 AM __  t(0049) = 0049 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.35 m/s, Measurement RMSE: 0.35 m/s.
 3:31 AM __  t(0049) = 0049 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.91 s.
 
 3:32 AM __  t(0050) = 0050 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.33 m/s, Measurement RMSE: 0.39 m/s.
 3:32 AM __  t(0050) = 0050 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.83 s.
 
 3:32 AM __  t(0051) = 0051 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.32 m/s, Measurement RMSE: 0.32 m/s.
 3:32 AM __  t(0051) = 0051 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.85 s.
 
 3:32 AM __  t(0052) = 0052 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.30 m/s, Measurement RMSE: 0.36 m/s.
 3:32 AM __  t(0052) = 0052 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.84 s.
 
 3:32 AM __  t(0053) = 0053 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.29 m/s, Measurement RMSE: 0.38 m/s.
 3:32 AM __  t(0053) = 0053 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.87 s.
 
 3:32 AM __  t(0054) = 0054 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.27 m/s, Measurement RMSE: 0.35 m/s.
 3:32 AM __  t(0054) = 0054 s __ Flow RMSE: 2.10 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.83 s.
 
 3:33 AM __  t(0055) = 0055 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.26 m/s, Measurement RMSE: 0.44 m/s.
 3:33 AM __  t(0055) = 0055 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.96 s.
 
 3:33 AM __  t(0056) = 0056 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.25 m/s, Measurement RMSE: 0.43 m/s.
 3:33 AM __  t(0056) = 0056 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.86 s.
 
 3:33 AM __  t(0057) = 0057 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.23 m/s, Measurement RMSE: 0.38 m/s.
 3:33 AM __  t(0057) = 0057 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 15.20 s.
 
 3:33 AM __  t(0058) = 0058 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.21 m/s, Measurement RMSE: 0.38 m/s.
 3:33 AM __  t(0058) = 0058 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.99 s.
 
 3:34 AM __  t(0059) = 0059 s __ Centerline VAF: 0.00%, Centerline RMSE: 2.20 m/s, Measurement RMSE: 0.39 m/s.
 3:34 AM __  t(0059) = 0059 s __ Flow RMSE: 2.09 m/s, u_Inf: 5.00, v_Inf: 0.00, it. time: 13.93 s.
 
